交通量推定不能区間,都道府県,道路種別,沿道状況,延長（ｋｍ）,１２時間平均交通量（台／１２ｈ）／小型車,１２時間平均交通量（台／１２ｈ）／大型車,１２時間平均交通量（台／１２ｈ）／合計,１２時間走行台キロ（千台キロ）／小型車,１２時間走行台キロ（千台キロ）／大型車,１２時間走行台キロ（千台キロ）／合計,２４時間平均交通量（台／日）／小型車,２４時間平均交通量（台／日）／大型車,２４時間平均交通量（台／日）／合計,２４時間走行台キロ（千台キロ）／小型車,２４時間走行台キロ（千台キロ）／大型車,２４時間走行台キロ（千台キロ）／合計,昼夜率,１２時間ピーク比率（％）,１２時間大型車混入率（％）,混雑度
交通量推定不能区間を含む,北海道全域,高速自動車国道,DID(商業地域),21.1,20001,5879,25879,422,124,546,24336,7248,31584,513,153,666,1.22,14,22.7,0.63
,,,DID(商業地域を除く),3.9,21826,5074,26900,85,20,105,25810,7109,32919,101,28,128,1.22,10,18.9,0.65
,,,その他市街部,9.6,9455,2639,12093,91,25,116,11532,3290,14822,111,32,142,1.23,12.7,21.8,0.31
,,,平地部,361.1,4512,1046,5558,1629,378,2007,5203,1538,6741,1879,555,2434,1.21,10.7,18.8,0.34
,,,山地部,392,4134,1196,5329,1620,469,2089,4760,1813,6573,1866,711,2577,1.23,10.7,22.4,0.42
,,,合計,787.7,4885,1289,6174,3848,1015,4863,5675,1877,7551,4470,1478,5948,1.22,11.1,20.9,0.4
,,一般国道の自動車専用道路,DID(商業地域),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,DID(商業地域を除く),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,その他市街部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,平地部,343.3,3930,968,4898,1349,332,1682,4661,1250,5911,1600,429,2029,1.21,10.8,19.8,0.44
,,,山地部,58.3,2626,714,3340,153,42,195,2997,988,3985,175,58,232,1.19,10.1,21.4,0.45
,,,合計,401.6,3741,931,4672,1502,374,1876,4419,1212,5631,1775,487,2261,1.21,10.7,19.9,0.44
,,高規格幹線道路,DID(商業地域),21.1,20001,5879,25879,422,124,546,24336,7248,31584,513,153,666,1.22,14,22.7,0.63
,,,DID(商業地域を除く),3.9,21826,5074,26900,85,20,105,25810,7109,32919,101,28,128,1.22,10,18.9,0.65
,,,その他市街部,9.6,9455,2639,12093,91,25,116,11532,3290,14822,111,32,142,1.23,12.7,21.8,0.31
,,,平地部,704.4,4228,1008,5236,2978,710,3689,4939,1398,6336,3479,984,4463,1.21,10.7,19.3,0.38
,,,山地部,450.3,3938,1133,5072,1774,510,2284,4532,1706,6238,2041,768,2809,1.23,10.7,22.3,0.42
,,,合計,1189.3,4498,1168,5667,5350,1390,6739,5251,1652,6903,6245,1965,8210,1.22,11,20.6,0.41
,,都市高速道路,DID(商業地域),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,DID(商業地域を除く),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,その他市街部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,平地部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,山地部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,合計,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,高速道路計,DID(商業地域),21.1,20001,5879,25879,422,124,546,24336,7248,31584,513,153,666,1.22,14,22.7,0.63
,,,DID(商業地域を除く),3.9,21826,5074,26900,85,20,105,25810,7109,32919,101,28,128,1.22,10,18.9,0.65
,,,その他市街部,9.6,9455,2639,12093,91,25,116,11532,3290,14822,111,32,142,1.23,12.7,21.8,0.31
,,,平地部,704.4,4228,1008,5236,2978,710,3689,4939,1398,6336,3479,984,4463,1.21,10.7,19.3,0.38
,,,山地部,450.3,3938,1133,5072,1774,510,2284,4532,1706,6238,2041,768,2809,1.23,10.7,22.3,0.42
,,,合計,1189.3,4498,1168,5667,5350,1390,6739,5251,1652,6903,6245,1965,8210,1.22,11,20.6,0.41
,,高速道路計（一般国道の自動車専用道路を除く）,DID(商業地域),21.1,20001,5879,25879,422,124,546,24336,7248,31584,513,153,666,1.22,14,22.7,0.63
,,,DID(商業地域を除く),3.9,21826,5074,26900,85,20,105,25810,7109,32919,101,28,128,1.22,10,18.9,0.65
,,,その他市街部,9.6,9455,2639,12093,91,25,116,11532,3290,14822,111,32,142,1.23,12.7,21.8,0.31
,,,平地部,361.1,4512,1046,5558,1629,378,2007,5203,1538,6741,1879,555,2434,1.21,10.7,18.8,0.34
,,,山地部,392,4134,1196,5329,1620,469,2089,4760,1813,6573,1866,711,2577,1.23,10.7,22.4,0.42
,,,合計,787.7,4885,1289,6174,3848,1015,4863,5675,1877,7551,4470,1478,5948,1.22,11.1,20.9,0.4
,,一般国道（直轄）,DID(商業地域),151.3,16942,2107,19049,2563,319,2882,21404,2770,24174,3238,419,3658,1.27,9.9,11.1,0.94
,,,DID(商業地域を除く),296.1,12485,1541,14026,3697,456,4153,15326,2051,17377,4538,607,5145,1.24,10.4,11,0.8
,,,その他市街部,629.9,3770,800,4570,2375,504,2879,4511,1024,5535,2842,645,3486,1.21,10.3,17.5,0.47
,,,平地部,4001.5,3039,845,3884,12162,3381,15543,3665,1093,4757,14665,4372,19037,1.22,10.5,21.8,0.45
,,,山地部,1698,1573,508,2081,2670,862,3533,1851,684,2535,3143,1161,4304,1.22,10.4,24.4,0.43
,,,合計,6776.8,3463,815,4278,23467,5523,28990,4195,1063,5258,28426,7204,35630,1.23,10.4,19.1,0.51
,,一般国道（その他）,DID(商業地域),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,DID(商業地域を除く),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,その他市街部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,平地部,8.4,2194,605,2799,18,5,24,2477,806,3283,21,7,28,1.17,11.7,21.6,0.19
,,,山地部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,合計,8.4,2194,605,2799,18,5,24,2477,806,3283,21,7,28,1.17,11.7,21.6,0.19
,,一般国道計,DID(商業地域),151.3,16942,2107,19049,2563,319,2882,21404,2770,24174,3238,419,3658,1.27,9.9,11.1,0.94
,,,DID(商業地域を除く),296.1,12485,1541,14026,3697,456,4153,15326,2051,17377,4538,607,5145,1.24,10.4,11,0.8
,,,その他市街部,629.9,3770,800,4570,2375,504,2879,4511,1024,5535,2842,645,3486,1.21,10.3,17.5,0.47
,,,平地部,4009.9,3038,844,3882,12181,3386,15567,3662,1092,4754,14686,4379,19065,1.22,10.5,21.8,0.45
,,,山地部,1698,1573,508,2081,2670,862,3533,1851,684,2535,3143,1161,4304,1.22,10.4,24.4,0.43
,,,合計,6785.2,3461,815,4276,23486,5528,29014,4192,1063,5255,28447,7211,35657,1.23,10.4,19.1,0.51
,,主要地方道（都道府県道）,DID(商業地域),131.5,10911,970,11881,1435,128,1562,13100,1547,14647,1723,203,1926,1.23,10.1,8.2,0.75
,,,DID(商業地域を除く),121.5,9494,1169,10663,1154,142,1296,11476,1652,13129,1394,201,1595,1.23,10.9,11,0.84
,,,その他市街部,228.5,4909,743,5652,1122,170,1291,5857,1042,6899,1338,238,1576,1.22,11,13.1,0.58
,,,平地部,2304.7,1493,388,1881,3442,894,4335,1767,490,2257,4072,1129,5202,1.2,11.3,20.6,0.29
,,,山地部,1729.3,733,218,951,1267,377,1644,861,272,1132,1488,470,1958,1.19,11.5,22.9,0.22
,,,合計,4515.5,1864,379,2243,8419,1710,10129,2218,496,2714,10016,2241,12257,1.21,11.1,16.9,0.36
,,主要地方道（指定市道）,DID(商業地域),36.7,16442,1706,18148,603,63,666,19974,2613,22587,733,96,829,1.24,10.1,9.4,0.89
,,,DID(商業地域を除く),21.4,11445,1356,12801,245,29,274,13927,2003,15930,298,43,341,1.24,10,10.6,0.67
,,,その他市街部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,平地部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,山地部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,合計,58.1,14602,1577,16179,848,92,940,17747,2389,20135,1031,139,1170,1.24,10.1,9.7,0.81
,,主要地方道計,DID(商業地域),168.2,12118,1130,13248,2038,190,2228,14600,1780,16380,2456,299,2755,1.24,10.1,8.5,0.79
,,,DID(商業地域を除く),142.9,9786,1197,10983,1398,171,1569,11843,1705,13548,1692,244,1936,1.23,10.7,10.9,0.81
,,,その他市街部,228.5,4909,743,5652,1122,170,1291,5857,1042,6899,1338,238,1576,1.22,11,13.1,0.58
,,,平地部,2304.7,1493,388,1881,3442,894,4335,1767,490,2257,4072,1129,5202,1.2,11.3,20.6,0.29
,,,山地部,1729.3,733,218,951,1267,377,1644,861,272,1132,1488,470,1958,1.19,11.5,22.9,0.22
,,,合計,4573.6,2026,394,2420,9267,1802,11069,2415,520,2936,11047,2380,13427,1.21,11,16.3,0.38
,,一般都道府県道,DID(商業地域),99.9,7860,668,8527,785,67,852,9317,1098,10415,931,110,1040,1.22,10.2,7.8,0.67
,,,DID(商業地域を除く),171.5,7871,968,8839,1350,166,1516,9425,1430,10855,1616,245,1862,1.23,10.7,11,0.7
,,,その他市街部,290.5,3109,521,3630,903,151,1055,3679,730,4410,1069,212,1281,1.21,11.7,14.3,0.49
,,,平地部,4383.1,977,227,1204,4284,994,5278,1145,295,1440,5019,1293,6312,1.2,11.5,18.8,0.21
,,,山地部,2398.3,378,88,466,906,211,1117,439,112,550,1052,268,1320,1.18,11.9,18.9,0.11
,,,合計,7343.3,1121,216,1337,8228,1589,9817,1319,290,1609,9687,2128,11815,1.2,11.3,16.2,0.24
,,地方道計,DID(商業地域),268.1,10531,958,11489,2823,257,3080,12631,1526,14157,3387,409,3796,1.23,10.1,8.3,0.75
,,,DID(商業地域を除く),314.4,8741,1072,9814,2748,337,3085,10524,1555,12079,3309,489,3798,1.23,10.7,10.9,0.75
,,,その他市街部,519,3902,619,4520,2025,321,2346,4638,867,5506,2407,450,2857,1.22,11.3,13.7,0.54
,,,平地部,6687.8,1155,282,1437,7726,1887,9613,1359,362,1722,9091,2422,11514,1.2,11.4,19.6,0.24
,,,山地部,4127.6,526,143,669,2173,588,2761,615,179,794,2540,737,3278,1.19,11.6,21.3,0.16
,,,合計,11916.9,1468,285,1753,17495,3391,20886,1740,378,2118,20734,4508,25242,1.21,11.1,16.2,0.3
,,一般道路計,DID(商業地域),419.4,12844,1373,14216,5387,576,5962,15796,1975,17771,6625,828,7453,1.25,10,9.7,0.83
,,,DID(商業地域を除く),610.5,10557,1300,11857,6445,793,7238,12853,1795,14649,7847,1096,8943,1.24,10.5,11,0.78
,,,その他市街部,1148.9,3829,718,4548,4400,825,5225,4569,953,5522,5249,1095,6344,1.21,10.8,15.8,0.5
,,,平地部,10697.7,1861,493,2354,19907,5274,25180,2223,636,2858,23777,6801,30578,1.21,10.9,20.9,0.34
,,,山地部,5825.6,831,249,1080,4843,1451,6294,975,326,1301,5683,1898,7581,1.2,11,23.1,0.25
,,,合計,18702.1,2191,477,2668,40981,8919,49900,2630,627,3256,49181,11719,60899,1.22,10.7,17.9,0.39
,,合計,DID(商業地域),440.5,13187,1588,14775,5809,700,6508,16205,2227,18432,7138,981,8119,1.25,10.3,10.8,0.81
,,,DID(商業地域を除く),614.4,10629,1324,11952,6530,813,7343,12935,1829,14765,7947,1124,9071,1.24,10.5,11.1,0.78
,,,その他市街部,1158.5,3876,734,4610,4490,851,5341,4626,973,5599,5360,1127,6486,1.21,10.8,15.9,0.49
,,,平地部,11058.8,1947,511,2458,21536,5651,27187,2320,665,2985,25656,7356,33012,1.21,10.9,20.8,0.34
,,,山地部,6217.6,1040,309,1348,6464,1920,8383,1214,420,1634,7549,2609,10158,1.21,10.9,22.9,0.27
,,,合計,19489.8,2300,510,2810,44829,9934,54763,2753,677,3430,53650,13197,66847,1.22,10.8,18.1,0.39
,,指定市の一般市道,DID(商業地域),6.2,15281,1398,16679,95,9,103,18409,2238,20647,114,14,128,1.24,10.5,8.4,0.64
,,,DID(商業地域を除く),14.7,14818,1766,16584,218,26,244,18000,2607,20608,265,38,303,1.24,10.2,10.6,0.79
,,,その他市街部,1.4,10224,1212,11436,14,2,16,12523,1772,14295,18,2,20,1.25,9.8,10.6,1.12
,,,平地部,7.3,8508,1694,10202,62,12,74,10166,2298,12465,74,17,91,1.22,11.1,16.6,0.47
,,,山地部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,合計,29.6,13142,1645,14787,389,49,438,15895,2414,18309,470,71,542,1.24,10.4,11.1,0.68
,北海道（札幌市を除く）,高速自動車国道,DID(商業地域),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,DID(商業地域を除く),3.9,21826,5074,26900,85,20,105,25810,7109,32919,101,28,128,1.22,10,18.9,0.65
,,,その他市街部,2.1,8508,2538,11046,18,5,23,10416,3173,13589,22,7,29,1.23,12.9,23,0.29
,,,平地部,351.6,4198,975,5172,1476,343,1819,4832,1441,6273,1699,506,2205,1.21,10.8,18.8,0.33
,,,山地部,392,4134,1196,5329,1620,469,2089,4760,1813,6573,1866,711,2577,1.23,10.7,22.4,0.42
,,,合計,749.6,4268,1116,5384,3199,836,4036,4919,1670,6589,3687,1252,4939,1.22,10.7,20.7,0.38
,,一般国道の自動車専用道路,DID(商業地域),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,DID(商業地域を除く),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,その他市街部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,平地部,343.3,3930,968,4898,1349,332,1682,4661,1250,5911,1600,429,2029,1.21,10.8,19.8,0.44
,,,山地部,58.3,2626,714,3340,153,42,195,2997,988,3985,175,58,232,1.19,10.1,21.4,0.45
,,,合計,401.6,3741,931,4672,1502,374,1876,4419,1212,5631,1775,487,2261,1.21,10.7,19.9,0.44
,,高規格幹線道路,DID(商業地域),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,DID(商業地域を除く),3.9,21826,5074,26900,85,20,105,25810,7109,32919,101,28,128,1.22,10,18.9,0.65
,,,その他市街部,2.1,8508,2538,11046,18,5,23,10416,3173,13589,22,7,29,1.23,12.9,23,0.29
,,,平地部,694.9,4065,971,5037,2825,675,3500,4747,1346,6094,3299,936,4235,1.21,10.8,19.3,0.37
,,,山地部,450.3,3938,1133,5072,1774,510,2284,4532,1706,6238,2041,768,2809,1.23,10.7,22.3,0.42
,,,合計,1151.2,4084,1052,5136,4702,1211,5912,4745,1510,6255,5462,1738,7201,1.22,10.7,20.5,0.39
,,都市高速道路,DID(商業地域),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,DID(商業地域を除く),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,その他市街部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,平地部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,山地部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,合計,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,高速道路計,DID(商業地域),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,DID(商業地域を除く),3.9,21826,5074,26900,85,20,105,25810,7109,32919,101,28,128,1.22,10,18.9,0.65
,,,その他市街部,2.1,8508,2538,11046,18,5,23,10416,3173,13589,22,7,29,1.23,12.9,23,0.29
,,,平地部,694.9,4065,971,5037,2825,675,3500,4747,1346,6094,3299,936,4235,1.21,10.8,19.3,0.37
,,,山地部,450.3,3938,1133,5072,1774,510,2284,4532,1706,6238,2041,768,2809,1.23,10.7,22.3,0.42
,,,合計,1151.2,4084,1052,5136,4702,1211,5912,4745,1510,6255,5462,1738,7201,1.22,10.7,20.5,0.39
,,高速道路計（一般国道の自動車専用道路を除く）,DID(商業地域),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,DID(商業地域を除く),3.9,21826,5074,26900,85,20,105,25810,7109,32919,101,28,128,1.22,10,18.9,0.65
